epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2131,3.32133,3.93275,1.79413,0.18389,0.09264,0.06112,0.01815,3.03735,2.80101,1.66891,0.0669762,8.27664e-05,8.27664e-05
2,34.7217,2.75051,2.73846,1.54032,0.34211,0.15907,0.13992,0.05424,2.53949,2.44191,1.52052,0.0337261,0.000166059,0.000166059
3,50.8233,2.63528,2.6013,1.46554,0.28475,0.24181,0.18327,0.06863,2.51642,2.21842,1.48809,0.000475947,0.000249189,0.000249189
4,66.7819,2.67479,2.47669,1.498,0.34994,0.27761,0.22879,0.0936,2.52666,2.22753,1.43447,0.000249451,0.000249451,0.000249451
5,82.5636,2.61098,2.46249,1.43627,0.3219,0.28773,0.20404,0.07621,2.51381,2.42902,1.41203,0.000249024,0.000249024,0.000249024
6,98.328,2.54584,2.20404,1.38272,0.31245,0.28512,0.22011,0.09002,2.39073,2.02047,1.38586,0.000248476,0.000248476,0.000248476
7,114.28,2.59738,2.27314,1.43745,0.22436,0.34468,0.22038,0.08707,2.38514,2.11421,1.35262,0.000247808,0.000247808,0.000247808
8,130.043,2.5161,2.25211,1.3999,0.36892,0.27308,0.23721,0.09601,2.39366,1.96138,1.38422,0.00024702,0.00024702,0.00024702
9,145.823,2.44857,2.19969,1.40346,0.38555,0.42233,0.2633,0.107,2.36683,2.29988,1.35644,0.000246112,0.000246112,0.000246112
10,162.315,2.49078,2.28907,1.42727,0.39019,0.31793,0.22039,0.09157,2.35931,2.0109,1.37839,0.000245086,0.000245086,0.000245086
11,178.444,2.38222,2.17464,1.36411,0.41762,0.27836,0.24576,0.10588,2.3332,2.09815,1.35469,0.000243943,0.000243943,0.000243943
12,194.697,2.33448,2.00164,1.35535,0.41315,0.35011,0.26412,0.09637,2.41231,1.91495,1.41651,0.000242684,0.000242684,0.000242684
13,211.016,2.37516,2.03555,1.38238,0.3741,0.31808,0.28863,0.11029,2.3905,2.06747,1.37196,0.00024131,0.00024131,0.00024131
14,227.457,2.40256,2.18016,1.38591,0.43051,0.35962,0.31948,0.1216,2.34166,1.87254,1.37078,0.000239822,0.000239822,0.000239822
15,243.576,2.38551,2.0493,1.34877,0.36329,0.34017,0.2722,0.11311,2.33613,1.8963,1.38372,0.000238222,0.000238222,0.000238222
16,260.18,2.46003,2.03935,1.38377,0.35649,0.33015,0.26446,0.10944,2.35853,1.88119,1.3576,0.000236512,0.000236512,0.000236512
17,276.451,2.36343,2.06087,1.33217,0.385,0.36308,0.28104,0.10398,2.36449,1.81352,1.39702,0.000234693,0.000234693,0.000234693
18,292.316,2.33469,1.91986,1.33288,0.47982,0.34407,0.30759,0.12785,2.32095,1.90634,1.37467,0.000232767,0.000232767,0.000232767
19,308.24,2.35523,1.90243,1.35087,0.37999,0.33013,0.29872,0.13041,2.25525,1.8345,1.32731,0.000230736,0.000230736,0.000230736
20,324.27,2.33294,1.98967,1.3304,0.39234,0.35819,0.30809,0.10928,2.37116,1.84802,1.3548,0.000228601,0.000228601,0.000228601
21,340.407,2.28807,1.92052,1.31702,0.38591,0.37626,0.26746,0.10984,2.29684,1.92452,1.3446,0.000226366,0.000226366,0.000226366
22,356.227,2.35663,1.90637,1.33098,0.3577,0.37434,0.26797,0.10232,2.39579,1.89093,1.3699,0.000224032,0.000224032,0.000224032
23,372.274,2.30607,2.02689,1.3095,0.43858,0.354,0.32788,0.14615,2.13333,1.72139,1.28038,0.000221601,0.000221601,0.000221601
24,388.631,2.26957,1.94175,1.3082,0.33291,0.3121,0.28086,0.10342,2.33578,1.82828,1.34471,0.000219076,0.000219076,0.000219076
25,404.891,2.23467,1.89104,1.30144,0.34431,0.37252,0.30328,0.10985,2.23404,1.92144,1.29829,0.00021646,0.00021646,0.00021646
26,420.999,2.16168,1.81173,1.26744,0.39389,0.36718,0.32246,0.14308,2.1801,1.83917,1.27958,0.000213754,0.000213754,0.000213754
27,437.187,2.1918,1.92586,1.29759,0.46924,0.3682,0.33548,0.13759,2.26241,1.87525,1.34159,0.000210963,0.000210963,0.000210963
